2020-03-04 13:54:03
  PID COMM             ARGS                                                              %CPU      VSZ     STIME USER               UID
    1 /sbin/launchd    /sbin/launchd                                                      0.0  4417876   8:50.00 root                 0
   46 /usr/sbin/syslog /usr/sbin/syslogd                                                  0.0  4395956   0:02.41 root                 0
   47 /usr/libexec/Use /usr/libexec/UserEventAgent (System)                               0.0  4424908   0:04.69 root                 0
   50 /System/Library/ /System/Library/PrivateFrameworks/Uninstall.framework/Resources/   0.0  4353516   0:02.74 root                 0
   51 /usr/libexec/kex /usr/libexec/kextd                                                 0.0  4431496   0:06.78 root                 0
   52 /System/Library/ /System/Library/Frameworks/CoreServices.framework/Versions/A/Fra   0.0  4540600   1:27.55 root                 0
   54 /System/Library/ /System/Library/PrivateFrameworks/MediaRemote.framework/Support/   0.0  4424160   0:01.28 root                 0
   58 /System/Library/ /System/Library/CoreServices/appleeventsd --server                 0.0  4424804   0:01.18 _appleevents        55
   59 /usr/sbin/system /usr/sbin/systemstats --daemon                                     0.0  4450484   1:09.94 root                 0
   61 /usr/libexec/con /usr/libexec/configd                                               0.0  4430980   0:10.07 root                 0
   62 /Library/Applica /Library/Application Support/iStat Menus 6/iStatMenusDaemon        0.1  4425632   4:06.99 root                 0
   63 /System/Library/ /System/Library/CoreServices/powerd.bundle/powerd                  0.0  4422364   0:50.69 root                 0
   66 /usr/libexec/log /usr/libexec/logd                                                  0.0  4522924   0:46.49 root                 0
   67 /usr/libexec/key /usr/libexec/keybagd -t 15                                         0.0  4334544   0:00.01 root                 0
   68 /Library/Applica /Library/Application Support/QQMacMgr/QQMacMgrAgent loadBySystem   0.0  4437772   0:13.61 root                 0
   71 /Library/Applica /Library/Application Support/iStat Menus 6/iStatMenusFans          0.0  4396500   0:04.92 root                 0
   76 /System/Library/ /System/Library/Frameworks/CoreServices.framework/Frameworks/Met   0.0  4891200  22:21.40 root                 0
   77 /System/Library/ /System/Library/CoreServices/iconservicesd                         0.0  4396436   0:00.03 _iconservices      240
   78 /usr/libexec/dis /usr/libexec/diskarbitrationd                                      0.0  4421476   0:09.94 root                 0
   82 /System/Library/ /System/Library/CoreServices/backupd.bundle/Contents/Resources/b   0.0  4422536   0:40.34 root                 0
   83 /usr/libexec/cor /usr/libexec/coreduetd                                             0.0  4431092   0:01.19 root                 0
   87 /usr/libexec/ope /usr/libexec/opendirectoryd                                        0.0  4460296   0:13.05 root                 0
   88 /System/Library/ /System/Library/PrivateFrameworks/ApplePushService.framework/aps   0.0  4429236   0:02.42 root                 0
   89 /System/Library/ /System/Library/PrivateFrameworks/Noticeboard.framework/Versions   0.0  4353636   0:00.01 root                 0
   90 /System/Library/ /System/Library/CoreServices/launchservicesd                       0.1  4427088   0:21.21 root                 0
   91 /usr/libexec/tim /usr/libexec/timed                                                 0.0  4421724   0:01.46 _timed             266
   92 /usr/sbin/securi /usr/sbin/securityd -i                                             0.0  4425520   0:03.92 root                 0
   93 /System/Library/ /System/Library/PrivateFrameworks/MobileDevice.framework/Version   0.0  4422300   0:00.21 _usbmuxd           213
   95 /usr/libexec/loc /usr/libexec/locationd                                             0.0  4429356   0:06.49 _locationd         205
   97 autofsd          autofsd                                                            0.0  4325740   0:00.01 root                 0
   98 /usr/libexec/dis /usr/libexec/displaypolicyd -k 1                                   0.0  4398264   0:03.42 _displaypolicyd    244
   99 /usr/libexec/das /usr/libexec/dasd                                                  0.0  4428076   0:03.50 root                 0
  103 /System/Library/ /System/Library/CoreServices/loginwindow.app/Contents/MacOS/logi   0.0  5095332   0:08.70 qww                501
  104 /System/Library/ /System/Library/CoreServices/logind                                0.0  4394928   0:00.09 root                 0
  105 /System/Library/ /System/Library/PrivateFrameworks/GenerationalStorage.framework/   0.0  4429376   0:00.28 root                 0
  106 /usr/sbin/Kernel /usr/sbin/KernelEventAgent                                         0.0  4336620   0:00.01 root                 0
  108 /usr/sbin/blueto /usr/sbin/bluetoothd                                               0.0  4426416   0:04.37 root                 0
  109 /usr/libexec/hid /usr/libexec/hidd                                                  0.3  4427532  12:02.77 _hidd              261
  111 /usr/libexec/cor /usr/libexec/corebrightnessd --launchd                             0.0  4425664   0:14.03 root                 0
  112 /usr/libexec/Air /usr/libexec/AirPlayXPCHelper                                      0.0  4423136   0:01.80 root                 0
  113 /usr/sbin/notify /usr/sbin/notifyd                                                  0.0  4321812   0:20.74 root                 0
  118 /usr/sbin/distno /usr/sbin/distnoted daemon                                         0.0  4396008   0:09.18 _distnote          241
  119 /usr/libexec/amf /usr/libexec/amfid                                                 0.0  4429312   0:00.43 root                 0
  127 /usr/libexec/sys /usr/libexec/syspolicyd                                            0.0  4430196   0:01.75 root                 0
  128 /System/Library/ /System/Library/Frameworks/Security.framework/Versions/A/XPCServ   0.0  4425940   0:00.43 root                 0
  129 /System/Library/ /System/Library/CoreServices/coreservicesd                         0.0  4471624   0:07.51 root                 0
  130 /usr/sbin/cfpref /usr/sbin/cfprefsd daemon                                          0.0  4395336   0:05.76 root                 0
  131 aslmanager       aslmanager                                                         0.0  4395632   0:00.11 root                 0
  160 /System/Library/ /System/Library/PrivateFrameworks/SkyLight.framework/Resources/W   1.4 10307180  71:44.75 _windowserver       88
  162 /System/Library/ /System/Library/PrivateFrameworks/CoreDuetContext.framework/Reso   0.0  4430120   0:11.97 root                 0
  165 /usr/libexec/neh /usr/libexec/nehelper                                              0.0  4438792   0:00.77 root                 0
  170 /System/Library/ /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices   0.0  4360508   0:00.01 root                 0
  175 /usr/libexec/tru /usr/libexec/trustd                                                0.0  4440692   0:06.46 root                 0
  178 /System/Library/ /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s        0.0  4343280   0:00.01 _ctkd              259
  179 /usr/sbin/coreau /usr/sbin/coreaudiod                                               0.0  4440892   1:03.72 _coreaudiod        202
  182 /usr/libexec/sym /usr/libexec/symptomsd                                             0.0  4443044   0:25.19 _networkd           24
  187 /System/Library/ /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/   0.0  4422672   0:00.53 root                 0
  199 /System/Library/ /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCSer   0.0  4422172   0:00.18 _coreaudiod        202
  200 /usr/sbin/mDNSRe /usr/sbin/mDNSResponder                                            0.0  4425356   0:09.49 _mdnsresponder      65
  201 /usr/sbin/mDNSRe /usr/sbin/mDNSResponderHelper                                      0.0  4422528   0:03.42 root                 0
  205 /System/Library/ /System/Library/PrivateFrameworks/CoreSymbolication.framework/co   0.0  4397504   0:00.39 root                 0
  206 /usr/libexec/nsu /usr/libexec/nsurlsessiond --privileged                            0.0  4439684   0:02.05 _nsurlsessiond     242
  207 /usr/libexec/mul /usr/libexec/multiversed                                           0.0  4315928   0:00.01 root                 0
  208 /System/Library/ /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Content   0.0  4362088   0:00.04 root                 0
  209 /usr/libexec/apf /usr/libexec/apfsd                                                 0.0  4378428   0:00.12 root                 0
  210 /usr/libexec/air /usr/libexec/airportd                                              0.0  4432804   0:19.98 root                 0
  211 /usr/libexec/usb /usr/libexec/usbd                                                  0.0  4422592   0:00.35 root                 0
  212 /System/Library/ /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.p   0.0  4454500   0:00.29 _cmiodalassistants   262
  216 /usr/libexec/App /usr/libexec/ApplicationFirewall/socketfilterfw                    0.0  4426460   0:03.89 root                 0
  217 /System/Library/ /System/Library/PrivateFrameworks/BridgeOSSoftwareUpdate.framewo   0.0  4395420   0:00.32 _softwareupdate    200
  218 /System/Library/ /System/Library/CoreServices/SubmitDiagInfo server-init            0.0  4422500   0:00.43 root                 0
  219 /usr/libexec/rtc /usr/libexec/rtcreportingd                                         0.0  4424780   0:01.10 root                 0
